# Time-averaged data for fix at2
# TimeStep f_mysf1[3] f_mysf2[3]
54700 40.8071 -41.8328
54800 38.8524 -41.7219
54900 41.3528 -38.5438
55000 42.7106 -42.502
55100 42.2301 -42.0841
55200 40.4442 -38.7585
55300 39.6435 -41.5829
55400 42.5821 -42.7598
55500 41.6324 -42.0841
55600 38.9824 -39.4467
55700 41.7551 -42.4587
55800 44.1423 -41.9841
55900 41.9891 -39.7586
56000 39.2643 -41.9385
56100 42.5833 -43.1221
56200 41.9958 -42.2252
56300 41.5629 -40.8955
56400 41.2604 -43.4686
56500 43.7433 -40.2869
56600 42.249 -40.56
56700 41.0677 -43.8295
56800 43.213 -42.7028
56900 39.6032 -41.7639
57000 42.3495 -42.1994
57100 43.7864 -43.3552
57200 43.0147 -41.1639
57300 40.5744 -40.8809
57400 43.2363 -42.9054
57500 44.627 -43.0453
57600 38.2923 -44.2397
57700 42.9121 -42.0513
57800 44.0068 -42.7803
57900 42.8157 -41.8408
58000 43.7168 -42.0105
58100 42.8128 -43.7308
58200 44.5771 -42.1764
58300 40.2195 -43.3335
58400 43.4278 -44.3551
58500 43.5098 -43.4672
58600 42.8031 -41.3994
58700 44.9797 -42.734
58800 42.785 -44.4194
58900 43.5479 -43.0344
59000 40.5574 -43.8908
59100 45.2869 -44.1968
59200 43.1443 -44.0662
59300 42.6014 -43.4354
59400 45.4073 -41.2104
59500 43.562 -43.893
59600 43.5423 -44.0541
59700 43.3858 -44.1823
59800 43.8937 -44.6948
59900 43.7334 -42.4827
60000 43.2646 -44.4163
60100 46.6754 -44.1167
60200 42.5756 -44.3222
60300 44.0788 -42.3364
60400 43.6742 -45.1362
60500 44.4025 -46.6248
60600 43.9925 -42.8446
60700 43.7255 -43.8645
60800 45.9619 -44.3968
60900 44.0782 -44.6028
61000 44.4537 -44.2083
61100 45.12 -44.4228
61200 43.7778 -46.3936
61300 45.1205 -44.2805
61400 43.6177 -44.4373
61500 46.6298 -43.4147
61600 43.6991 -44.7576
61700 46.3028 -45.9055
61800 44.3419 -44.9151
61900 43.3813 -45.1185
62000 45.2917 -44.6065
62100 45.7157 -47.2868
62200 45.3587 -45.2391
62300 45.3561 -41.9353
62400 44.9684 -45.7632
62500 46.6981 -45.9475
62600 44.6562 -46.7018
62700 45.5724 -43.067
62800 44.7073 -47.9087
62900 46.0403 -45.3199
63000 45.7078 -45.2292
63100 45.338 -45.3481
63200 47.8852 -45.464
63300 44.5124 -46.9243
63400 44.2203 -45.4237
63500 47.0637 -44.9003
63600 45.9954 -47.6411
63700 46.7935 -45.5874
63800 45.1041 -46.72
63900 47.4707 -44.5646
64000 45.9579 -46.4883
64100 45.4232 -48.1146
64200 47.8967 -45.6519
64300 44.8955 -46.8242
64400 47.9678 -45.2849
64500 45.0391 -47.4631
64600 47.721 -47.6374
64700 47.841 -44.8229
64800 44.7544 -47.0118
64900 47.4213 -47.0207
65000 45.4058 -47.3615
65100 48.7077 -45.6825
65200 46.2523 -46.7246
65300 46.1645 -48.51
