# Time-averaged data for fix at1
# TimeStep v_pos
108300 33.2966
108400 33.2996
108500 33.3026
108600 33.3056
108700 33.3086
108800 33.3116
108900 33.3146
109000 33.3176
109100 33.3206
109200 33.3236
109300 33.3266
109400 33.3296
109500 33.3326
109600 33.3356
109700 33.3386
109800 33.3416
109900 33.3446
110000 33.3476
110100 33.3506
110200 33.3536
110300 33.3566
110400 33.3596
110500 33.3626
110600 33.3656
110700 33.3686
110800 33.3716
110900 33.3746
111000 33.3776
111100 33.3806
111200 33.3836
111300 33.3866
111400 33.3896
111500 33.3926
111600 33.3956
111700 33.3986
111800 33.4016
111900 33.4046
112000 33.4076
112100 33.4106
112200 33.4136
112300 33.4166
112400 33.4196
112500 33.4226
112600 33.4256
112700 33.4286
112800 33.4316
112900 33.4346
113000 33.4376
113100 33.4406
113200 33.4436
113300 33.4466
113400 33.4496
113500 33.4526
113600 33.4556
113700 33.4586
113800 33.4616
113900 33.4646
114000 33.4676
114100 33.4706
114200 33.4736
114300 33.4766
114400 33.4796
114500 33.4826
114600 33.4856
114700 33.4886
114800 33.4916
114900 33.4946
115000 33.4976
115100 33.5006
115200 33.5036
115300 33.5066
115400 33.5096
115500 33.5126
115600 33.5156
115700 33.5186
115800 33.5216
115900 33.5246
116000 33.5276
116100 33.5306
116200 33.5336
116300 33.5366
116400 33.5396
116500 33.5426
116600 33.5456
116700 33.5486
116800 33.5516
116900 33.5546
117000 33.5576
117100 33.5606
117200 33.5636
117300 33.5666
117400 33.5696
117500 33.5726
117600 33.5756
117700 33.5786
117800 33.5816
117900 33.5846
118000 33.5876
118100 33.5906
118200 33.5936
118300 33.5966
118400 33.5996
118500 33.6026
118600 33.6056
118700 33.6086
118800 33.6116
118900 33.6146
119000 33.6176
119100 33.6206
119200 33.6236
119300 33.6266
119400 33.6296
119500 33.6326
119600 33.6356
119700 33.6386
119800 33.6416
119900 33.6446
120000 33.6476
120100 33.6506
120200 33.6536
120300 33.6566
120400 33.6596
120500 33.6626
120600 33.6656
120700 33.6686
120800 33.6716
120900 33.6746
121000 33.6776
121100 33.6806
121200 33.6836
121300 33.6866
121400 33.6896
121500 33.6926
121600 33.6956
121700 33.6986
121800 33.7016
121900 33.7046
122000 33.7076
122100 33.7106
122200 33.7136
122300 33.7166
122400 33.7196
122500 33.7226
122600 33.7256
122700 33.7286
122800 33.7316
122900 33.7346
123000 33.7376
123100 33.7406
123200 33.7436
123300 33.7466
123400 33.7496
123500 33.7526
123600 33.7556
123700 33.7586
123800 33.7616
123900 33.7646
124000 33.7676
124100 33.7706
124200 33.7736
124300 33.7766
124400 33.7796
124500 33.7826
124600 33.7856
124700 33.7886
124800 33.7916
124900 33.7946
125000 33.7976
125100 33.8006
125200 33.8036
125300 33.8066
125400 33.8096
125500 33.8126
125600 33.8156
125700 33.8186
125800 33.8216
125900 33.8246
126000 33.8276
126100 33.8306
126200 33.8336
126300 33.8366
126400 33.8396
126500 33.8426
126600 33.8456
126700 33.8486
126800 33.8516
126900 33.8546
127000 33.8576
127100 33.8606
127200 33.8636
127300 33.8666
127400 33.8696
127500 33.8726
127600 33.8756
127700 33.8786
127800 33.8816
127900 33.8846
128000 33.8876
128100 33.8906
128200 33.8936
128300 33.8966
128400 33.8996
128500 33.9026
128600 33.9056
128700 33.9086
128800 33.9116
128900 33.9146
